"YEAR","COUNTRY","RANKING","ECONOMY","MILLIONS_OF_DOLLARS","FLAGGED"
2016,"USA",1,"United States"," 18,569,100 ",
2016,"CHN",2,"China"," 11,199,145 ",
2016,"JPN",3,"Japan"," 4,939,384 ",
2016,"DEU",4,"Germany"," 3,466,757 ",
2016,"GBR",5,"United Kingdom"," 2,618,886 ",
2016,"FRA",6,"France"," 2,465,454 ",
2016,"IND",7,"India"," 2,263,523 ",
2016,"ITA",8,"Italy"," 1,849,970 ",
2016,"BRA",9,"Brazil"," 1,796,187 ",
2016,"CAN",10,"Canada"," 1,529,760 ",
2016,"KOR",11,"Korea, Rep."," 1,411,246 ",
2016,"RUS",12,"Russian Federation"," 1,283,162 ","a"
2016,"ESP",13,"Spain"," 1,232,088 ",
2016,"AUS",14,"Australia"," 1,204,616 ",
2016,"MEX",15,"Mexico"," 1,045,998 ",
2016,"IDN",16,"Indonesia"," 932,259 ",
2016,"TUR",17,"Turkey"," 857,749 ",
2016,"NLD",18,"Netherlands"," 770,845 ",
2016,"CHE",19,"Switzerland"," 659,827 ",
2016,"SAU",20,"Saudi Arabia"," 646,438 ",
2016,"ARG",21,"Argentina"," 545,866 ","b"
2016,"SWE",22,"Sweden"," 511,000 ",
2016,"POL",23,"Poland"," 469,509 ",
2016,"BEL",24,"Belgium"," 466,366 ",
2016,"THA",25,"Thailand"," 406,840 ",
2016,"NGA",26,"Nigeria"," 405,083 ",
2016,"IRN",27,"Iran, Islamic Rep."," 393,436 ",
2016,"AUT",28,"Austria"," 386,428 ",
2016,"NOR",29,"Norway"," 370,557 ",
2016,"ARE",30,"United Arab Emirates"," 348,743 ",
2016,"EGY",31,"Egypt, Arab Rep."," 336,297 ",
2016,"HKG",32,"Hong Kong SAR, China"," 320,912 ",
2016,"ISR",33,"Israel"," 318,744 ",
2016,"DNK",34,"Denmark"," 306,143 ",
2016,"PHL",35,"Philippines"," 304,905 ",
2016,"SGP",36,"Singapore"," 296,966 ",
2016,"MYS",37,"Malaysia"," 296,359 ",
2016,"ZAF",38,"South Africa"," 294,841 ",
2016,"IRL",39,"Ireland"," 294,054 ",
2016,"PAK",40,"Pakistan"," 283,660 ",
2016,"COL",41,"Colombia"," 282,463 ",
2016,"CHL",42,"Chile"," 247,028 ",
2016,"FIN",43,"Finland"," 236,785 ",
2016,"BGD",44,"Bangladesh"," 221,415 ",
2016,"PRT",45,"Portugal"," 204,565 ",
2016,"VNM",46,"Vietnam"," 202,616 ",
2016,"GRC",47,"Greece"," 194,559 ",
2016,"CZE",48,"Czech Republic"," 192,925 ",
2016,"PER",49,"Peru"," 192,094 ",
2016,"ROU",50,"Romania"," 186,691 ",
2016,"NZL",51,"New Zealand"," 185,017 ",
2016,"IRQ",52,"Iraq"," 171,489 ",
2016,"DZA",53,"Algeria"," 156,080 ",
2016,"QAT",54,"Qatar"," 152,469 ",
2016,"KAZ",55,"Kazakhstan"," 133,657 ",
2016,"HUN",56,"Hungary"," 124,343 ",
2016,"KWT",57,"Kuwait"," 114,041 ",
2016,"MAR",58,"Morocco"," 101,445 ","c"
2016,"ECU",59,"Ecuador"," 97,802 ",
2016,"SDN",60,"Sudan"," 95,584 ",
2016,"UKR",61,"Ukraine"," 93,270 ","a"
2016,"AGO",62,"Angola"," 89,633 ",
2016,"SVK",63,"Slovak Republic"," 89,552 ",
2016,"CUB",64,"Cuba"," 87,133 ",
2016,"LKA",65,"Sri Lanka"," 81,322 ",
2016,"ETH",66,"Ethiopia"," 72,374 ",
2016,"DOM",67,"Dominican Republic"," 71,584 ",
2016,"KEN",68,"Kenya"," 70,529 ",
2016,"GTM",69,"Guatemala"," 68,763 ",
2016,"MMR",70,"Myanmar"," 67,430 ",
2016,"UZB",71,"Uzbekistan"," 67,220 ",
2016,"OMN",72,"Oman"," 66,293 ",
2016,"LUX",73,"Luxembourg"," 59,948 ",
2016,"CRI",74,"Costa Rica"," 57,436 ",
2016,"PAN",75,"Panama"," 55,188 ",
2016,"URY",76,"Uruguay"," 52,420 ",
2016,"BGR",77,"Bulgaria"," 52,395 ",
2016,"HRV",78,"Croatia"," 50,425 ",
2016,"LBN",79,"Lebanon"," 47,537 ",
2016,"BLR",80,"Belarus"," 47,433 ",
2016,"TZA",81,"Tanzania"," 47,431 ","d"
2016,"MAC",82,"Macao SAR, China"," 44,803 ",
2016,"SVN",83,"Slovenia"," 43,991 ",
2016,"LTU",84,"Lithuania"," 42,739 ",
2016,"GHA",85,"Ghana"," 42,690 ",
2016,"TUN",86,"Tunisia"," 42,063 ",
2016,"JOR",87,"Jordan"," 38,655 ",
2016,"AZE",88,"Azerbaijan"," 37,848 ",
2016,"SRB",89,"Serbia"," 37,745 ",
2016,"TKM",90,"Turkmenistan"," 36,180 ",
2016,"CIV",91,"C�te d'Ivoire"," 36,165 ",
2016,"COD",92,"Congo, Dem. Rep."," 34,999 ",
2016,"BOL",93,"Bolivia"," 33,806 ",
2016,"BHR",94,"Bahrain"," 31,859 ",
2016,"LVA",95,"Latvia"," 27,677 ",
2016,"PRY",96,"Paraguay"," 27,441 ",
2016,"YEM",97,"Yemen, Rep."," 27,318 ",
2016,"SLV",98,"El Salvador"," 26,797 ",
2016,"UGA",99,"Uganda"," 25,528 ",
2016,"CMR",100,"Cameroon"," 24,204 ",
2016,"EST",101,"Estonia"," 23,137 ",
2016,"HND",102,"Honduras"," 21,517 ",
2016,"NPL",103,"Nepal"," 21,144 ",
2016,"TTO",104,"Trinidad and Tobago"," 20,989 ",
2016,"ISL",105,"Iceland"," 20,047 ",
2016,"KHM",106,"Cambodia"," 20,017 ",
2016,"CYP",107,"Cyprus"," 19,802 ","e"
2016,"ZMB",108,"Zambia"," 19,551 ",
2016,"AFG",109,"Afghanistan"," 19,469 ",
