"YEAR","COUNTRY","RANKING","ECONOMY","MILLIONS_OF_DOLLARS","FLAGGED"
2016,"PNG",110,"Papua New Guinea"," 16,929 ",
2016,"BIH",111,"Bosnia and Herzegovina"," 16,560 ",
2016,"ZWE",112,"Zimbabwe"," 16,289 ",
2016,"LAO",113,"Lao PDR"," 15,903 ",
2016,"BWA",114,"Botswana"," 15,275 ",
2016,"SEN",115,"Senegal"," 14,765 ",
2016,"GEO",116,"Georgia"," 14,333 ","f"
2016,"GAB",117,"Gabon"," 14,214 ",
2016,"MLI",118,"Mali"," 14,045 ",
2016,"JAM",119,"Jamaica"," 14,027 ",
2016,"PSE",120,"West Bank and Gaza"," 13,397 ",
2016,"NIC",121,"Nicaragua"," 13,231 ",
2016,"MUS",122,"Mauritius"," 12,164 ",
2016,"BFA",123,"Burkina Faso"," 12,115 ",
2016,"ALB",124,"Albania"," 11,927 ",
2016,"BRN",125,"Brunei Darussalam"," 11,400 ",
2016,"MNG",126,"Mongolia"," 11,160 ",
2016,"MOZ",127,"Mozambique"," 11,015 ",
2016,"MLT",128,"Malta"," 10,949 ",
2016,"MKD",129,"Macedonia, FYR"," 10,900 ",
2016,"ARM",130,"Armenia"," 10,547 ",
2016,"NAM",131,"Namibia"," 10,267 ",
2016,"GNQ",132,"Equatorial Guinea"," 10,179 ",
2016,"MDG",133,"Madagascar"," 9,991 ",
2016,"TCD",134,"Chad"," 9,601 ",
2016,"BHS",135,"Bahamas, The"," 9,047 ",
2016,"SSD",136,"South Sudan"," 9,015 ",
2016,"BEN",137,"Benin"," 8,583 ",
2016,"RWA",138,"Rwanda"," 8,376 ",
2016,"HTI",139,"Haiti"," 8,023 ",
2016,"COG",140,"Congo, Rep."," 7,834 ",
2016,"NER",141,"Niger"," 7,509 ",
2016,"IMN",142,"Isle of Man"," 7,428 ",
2016,"TJK",143,"Tajikistan"," 6,952 ",
2016,"MDA",144,"Moldova"," 6,750 ","g"
2016,"LIE",145,"Liechtenstein"," 6,664 ",
2016,"XKX",146,"Kosovo"," 6,650 ",
2016,"KGZ",147,"Kyrgyz Republic"," 6,551 ",
2016,"GIN",148,"Guinea"," 6,299 ",
2016,"SOM",149,"Somalia"," 6,217 ",
2016,"GUM",150,"Guam"," 5,734 ",
2016,"MWI",151,"Malawi"," 5,442 ",
2016,"MRT",152,"Mauritania"," 4,635 ",
2016,"FJI",153,"Fiji"," 4,632 ",
2016,"BRB",154,"Barbados"," 4,588 ",
2016,"TGO",155,"Togo"," 4,400 ",
2016,"MNE",156,"Montenegro"," 4,173 ",
2016,"VIR",157,"Virgin Islands (U.S.)"," 3,765 ",
2016,"SWZ",158,"Swaziland"," 3,727 ",
2016,"SLE",159,"Sierra Leone"," 3,669 ",
2016,"SUR",160,"Suriname"," 3,621 ",
2016,"MDV",161,"Maldives"," 3,591 ",
2016,"GUY",162,"Guyana"," 3,446 ",
2016,"BDI",163,"Burundi"," 3,007 ",
2016,"BTN",164,"Bhutan"," 2,237 ",
2016,"GRL",165,"Greenland"," 2,220 ",
2016,"LSO",166,"Lesotho"," 2,200 ",
2016,"LBR",167,"Liberia"," 2,101 ",
2016,"BLZ",168,"Belize"," 1,765 ",
2016,"CAF",169,"Central African Republic"," 1,756 ",
2016,"DJI",170,"Djibouti"," 1,727 ",
2016,"CPV",171,"Cabo Verde"," 1,617 ",
2016,"ATG",172,"Antigua and Barbuda"," 1,449 ",
2016,"TLS",173,"Timor-Leste"," 1,442 ",
2016,"SYC",174,"Seychelles"," 1,427 ",
2016,"LCA",175,"St. Lucia"," 1,379 ",
2016,"SLB",176,"Solomon Islands"," 1,202 ",
2016,"GNB",177,"Guinea-Bissau"," 1,126 ",
2016,"GRD",178,"Grenada"," 1,016 ",
2016,"GMB",179,"Gambia, The"," 965 ",
2016,"MNP",180,"Northern Mariana Islands"," 922 ",
2016,"KNA",181,"St. Kitts and Nevis"," 917 ",
2016,"WSM",182,"Samoa"," 786 ",
2016,"VUT",183,"Vanuatu"," 774 ",
2016,"VCT",184,"St. Vincent and the Grenadines"," 771 ",
2016,"ASM",185,"American Samoa"," 641 ",
2016,"COM",186,"Comoros"," 617 ",
2016,"DMA",187,"Dominica"," 525 ",
2016,"TON",188,"Tonga"," 395 ",
2016,"STP",189,"S�o Tom� and Principe"," 351 ",
2016,"FSM",190,"Micronesia, Fed. Sts."," 322 ",
2016,"PLW",191,"Palau"," 293 ",
2016,"MHL",192,"Marshall Islands"," 183 ",
2016,"KIR",193,"Kiribati"," 166 ",
2016,"NRU",194,"Nauru"," 102 ",
2016,"TUV",195,"Tuvalu"," 34 ",
2016,,,,,
2016,"AND",,"Andorra"," .. ",
2016,"ABW",,"Aruba"," .. ",
2016,"BMU",,"Bermuda"," .. ",
2016,"VGB",,"British Virgin Islands"," .. ",
2016,"CYM",,"Cayman Islands"," .. ",
2016,"CHI",,"Channel Islands"," .. ",
2016,"CUW",,"Cura�ao"," .. ",
2016,"ERI",,"Eritrea"," .. ",
2016,"FRO",,"Faroe Islands"," .. ",
2016,"PYF",,"French Polynesia"," .. ",
2016,"GIB",,"Gibraltar"," .. ",
2016,"PRK",,"Korea, Dem. People's Rep."," .. ",
2016,"LBY",,"Libya"," .. ",
2016,"MCO",,"Monaco"," .. ",
2016,"NCL",,"New Caledonia"," .. ",
2016,"PRI",,"Puerto Rico"," .. ",
2016,"SMR",,"San Marino"," .. ",
2016,"SXM",,"Sint Maarten (Dutch part)"," .. ",
2016,"MAF",,"St. Martin (French part)"," .. ",
2016,"SYR",,"Syrian Arab Republic"," .. ",
2016,"TCA",,"Turks and Caicos Islands"," .. ",
2016,"VEN",,"Venezuela, RB"," .. ",
2016,,,,,
2016,,,,,
2016,"WLD",,"World","75,641,577",
2016,,,,,
2016,"EAS",,"East Asia & Pacific","22,477,425",
2016,"ECS",,"Europe & Central Asia","20,162,858",
2016,"LCN",,"Latin America & Caribbean","5,294,928",
2016,"MEA",,"Middle East & North Africa","3,111,499",
2016,"NAC",,"North America","20,104,905",
2016,"SAS",,"South Asia","2,896,361",
2016,"SSF",,"Sub-Saharan Africa","1,498,001",
2016,"LIC",,"Low income","405,501",
2016,"LMC",,"Lower middle income","6,252,244",
2016,"UMC",,"Upper middle income","20,570,823",
2016,"HIC",,"High income","48,407,640",
