"YEAR","COUNTRY","RANKING","ECONOMY","MILLIONS_OF_DOLLARS","FLAGGED"
2015,"BRN",120,"Brunei Darussalam"," 12,930 ",
2015,"MLI",121,"Mali"," 12,747 ",
2015,"NIC",122,"Nicaragua"," 12,693 ",
2015,"WBG",123,"West Bank and Gaza"," 12,677 ",
2015,"LAO",124,"Lao PDR"," 12,369 ",
2015,"GNQ",125,"Equatorial Guinea"," 12,202 ",
2015,"MNG",126,"Mongolia"," 11,741 ",
2015,"MUS",127,"Mauritius"," 11,682 ",
2015,"NAM",128,"Namibia"," 11,492 ",
2015,"ALB",129,"Albania"," 11,398 ",
2015,"TCD",130,"Chad"," 10,889 ",
2015,"BFA",131,"Burkina Faso"," 10,678 ",
2015,"ARM",132,"Armenia"," 10,529 ",
2015,"MKD",133,"Macedonia, FYR"," 10,086 ",
2015,"MLT",134,"Malta"," 9,746 ",
2015,"MDG",135,"Madagascar"," 9,739 ",
2015,"SSD",136,"South Sudan"," 9,015 ",
2015,"BHS",137,"Bahamas, The"," 8,854 ",
2015,"HTI",138,"Haiti"," 8,765 ",
2015,"COG",139,"Congo, Rep."," 8,553 ",
2015,"BEN",140,"Benin"," 8,291 ",
2015,"RWA",141,"Rwanda"," 8,096 ",
2015,"TJK",142,"Tajikistan"," 7,853 ",
2015,"IMY",143,"Isle of Man"," 7,428 ",
2015,"NER",144,"Niger"," 7,143 ",
2015,"GIN",145,"Guinea"," 6,699 ",
2015,"LIE",146,"Liechtenstein"," 6,664 ",
2015,"KGZ",147,"Kyrgyz Republic"," 6,572 ",
2015,"MDA",148,"Moldova"," 6,568 ","g"
2015,"MWI",149,"Malawi"," 6,404 ",
2015,"KSV",150,"Kosovo"," 6,401 ",
2015,"SOM",151,"Somalia"," 5,925 ",
2015,"BMU",152,"Bermuda"," 5,574 ",
2015,"MRT",153,"Mauritania"," 5,442 ",
2015,"SUR",154,"Suriname"," 5,150 ",
2015,"FJI",155,"Fiji"," 4,426 ",
2015,"BRB",156,"Barbados"," 4,385 ",
2015,"SLE",157,"Sierra Leone"," 4,215 ",
2015,"SWZ",158,"Swaziland"," 4,118 ",
2015,"TGO",159,"Togo"," 4,088 ",
2015,"MNE",160,"Montenegro"," 3,987 ",
2015,"MDV",161,"Maldives"," 3,435 ",
2015,"ADO",162,"Andorra"," 3,249 ",
2015,"GUY",163,"Guyana"," 3,166 ",
2015,"BDI",164,"Burundi"," 3,097 ",
2015,"FRO",165,"Faroe Islands"," 2,613 ",
2015,"GRL",166,"Greenland"," 2,441 ",
